Subject,Posture,Grip,MaxPowerCycle
1,1,1,1082.78011692837
1,1,1,1828.81995872592
1,1,1,1187.69373521341
1,1,2,1154.15941198677
1,1,2,1170.65290457451
1,1,2,NaN
1,2,1,1337.63246338047
1,2,1,1377.41295317229
1,2,1,NaN
1,2,2,1245.31277220558
1,2,2,1198.17728800712
1,2,2,1207.24239395213
2,1,1,937.624221180416
2,1,1,914.602475709951
2,1,1,776.093904357035
2,1,2,883.821314410418
2,1,2,834.476178281174
2,1,2,798.98825076041
2,2,1,1137.99864019997
2,2,1,1088.81319633425
2,2,1,1041.26343855602
2,2,2,1007.74031879264
2,2,2,860.130225516128
2,2,2,960.420489110482
3,1,1,1251.35896985844
3,1,1,1210.34797777073
3,1,1,1205.43956503702
3,1,2,1068.02035989141
3,1,2,1095.17675952021
3,1,2,1003.29867972506
3,2,1,1493.16277165862
3,2,1,1399.81054832609
3,2,1,1480.19393385282
3,2,2,1351.60421162854
3,2,2,1278.65008881792
3,2,2,1355.83293274344
4,1,1,1067.03950965833
4,1,1,1032.04443594157
4,1,1,977.614296479082
4,1,2,992.456736803588
4,1,2,942.420142707632
4,1,2,890.426883508694
4,2,1,1086.5586289031
4,2,1,1197.75250700014
4,2,1,1191.52162787381
4,2,2,1013.20210497243
4,2,2,1064.0522358504
4,2,2,1029.42238433451
5,1,1,947.335943890413
5,1,1,867.519863949736
5,1,1,910.325736989568
5,1,2,850.387221741175
5,1,2,821.663156922622
5,1,2,852.621795094422
5,2,1,1183.19232828447
5,2,1,1150.50622739395
5,2,1,1163.2769098978
5,2,2,1026.6500493081
5,2,2,912.253068631422
5,2,2,952.083550713879
6,1,1,1387.61723943312
6,1,1,1285.81205993805
6,1,1,1177.58788249459
6,1,2,1204.63541121801
6,1,2,993.475754374451
6,1,2,961.649564727241
6,2,1,1536.42451128147
6,2,1,1475.7040047881
6,2,1,1542.6540731882
6,2,2,1384.68646291651
6,2,2,1267.65917177673
6,2,2,1083.77854027378
7,1,1,935.068346594674
7,1,1,960.054602388102
7,1,1,890.95263319115
7,1,2,942.197821825189
7,1,2,927.152203082817
7,1,2,886.341972658264
7,2,1,1150.5293354698
7,2,1,1120.47366966899
7,2,1,1098.51180468495
7,2,2,905.226229850673
7,2,2,1024.99940405689
7,2,2,1053.2363965474
8,1,1,1384.74127194028
8,1,1,1341.56777477306
8,1,1,1399.58797171811
8,1,2,1293.41404123186
8,1,2,1155.26641910399
8,1,2,1315.3713493849
8,2,1,1516.47038698027
8,2,1,1537.41205978941
8,2,1,1602.88595230391
8,2,2,1271.67514288641
8,2,2,1391.35303190194
8,2,2,1387.15400323671
9,1,1,795.614631038931
9,1,1,728.734619094617
9,1,1,647.127928737651
9,1,2,697.619424924554
9,1,2,495.500390067962
9,1,2,533.061937608801
9,2,1,694.879420272221
9,2,1,645.027327302585
9,2,1,773.760574666979
9,2,2,618.62985086607
9,2,2,413.481843317895
9,2,2,633.607485761856
10,1,1,691.506122334853
10,1,1,584.840024454756
10,1,1,630.091669899218
10,1,2,623.947088150497
10,1,2,568.68253436257
10,1,2,530.155977841852
10,2,1,761.373485431331
10,2,1,785.920326511161
10,2,1,666.63784672871
10,2,2,656.758223211901
10,2,2,633.50852786033
10,2,2,644.325779518481
11,1,1,1023.62695672432
11,1,1,1000.22913408422
11,1,1,1006.63486411545
11,1,2,958.604538654663
11,1,2,954.461648981614
11,1,2,891.087660720496
11,2,1,1118.63975577084
11,2,1,1289.10375849743
11,2,1,1262.78861492508
11,2,2,886.590417836761
11,2,2,947.799510692723
11,2,2,1094.0159886494
